Identifiant du message;Date et heure de la publication;Date de début;Date de fin prévisionnelle;Type d'indisponibilité;Filière de production;Type d'évènement;Nom du groupe ou de la centrale de production;Code EIC du groupe ou de la centrale de production;Société;Code EIC de la société;Capacité installée;Capacité disponible;Capacité indisponible;Cause de l'arrêt;Remarques;Statut;Unité de mesure;Code localisation
04424_1362082704812-95000_003;28/02/2013 21:21;28/02/2013 21:09;01/03/2013 00:15;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 2;17W100P100P0061P;EDF;17X100A100R00182;152;0;152;Divers;-;Active;MW;10YFR-RTE------C
04424_1362082704812-95000_002;28/02/2013 21:21;28/02/2013 21:09;01/03/2013 00:15;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 2;17W100P100P0061P;EDF;17X100A100R00182;152;0;152;Divers;-;Inactive;MW;10YFR-RTE------C
04424_1362082704812-95000_001;28/02/2013 21:21;28/02/2013 21:09;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 2;17W100P100P0061P;EDF;17X100A100R00182;152;0;152;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_1362082743031-96000_003;28/02/2013 21:20;28/02/2013 21:09;01/03/2013 00:16;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 3;17W100P100P0063L;EDF;17X100A100R00182;152;0;152;Divers;-;Active;MW;10YFR-RTE------C
04424_1362082743031-96000_002;28/02/2013 21:20;28/02/2013 21:09;01/03/2013 00:16;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 3;17W100P100P0063L;EDF;17X100A100R00182;152;0;152;Divers;-;Inactive;MW;10YFR-RTE------C
04424_1362082743031-96000_001;28/02/2013 21:20;28/02/2013 21:09;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 3;17W100P100P0063L;EDF;17X100A100R00182;152;0;152;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_1362082778437-10200_003;28/02/2013 21:20;28/02/2013 21:09;01/03/2013 00:16;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 9;17W100P100P00699;EDF;17X100A100R00182;157;0;157;Divers;-;Active;MW;10YFR-RTE------C
04424_1362082778437-10200_002;28/02/2013 21:20;28/02/2013 21:09;01/03/2013 00:16;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 9;17W100P100P00699;EDF;17X100A100R00182;157;0;157;Divers;-;Inactive;MW;10YFR-RTE------C
04424_1362082778437-10200_001;28/02/2013 21:20;28/02/2013 21:09;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;GRAND MAISON 9;17W100P100P00699;EDF;17X100A100R00182;157;0;157;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_1362087283687-21200_001;28/02/2013 22:36;28/02/2013 22:29;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;SUPER BISSORTE 2;17W100P100P0083F;EDF;17X100A100R00182;152;0;152;Contrôles - Commandes;-;Active;MW;10YFR-RTE------C
04424_2011300000000000000_002;28/02/2013 20:14;28/02/2013 20:10;07/03/2013 12:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 1;17W100P100P0149B;EDF;17X100A100R00182;915;0;915;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Active;MW;10YFR-RTE------C
04424_2011300000000000000_001;28/02/2013 20:14;28/02/2013 20:10;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;TRICASTIN 1;17W100P100P0149B;EDF;17X100A100R00182;915;0;915;;-;Inactive;MW;10YFR-RTE------C
04424_20130228T1454440000_002;28/02/2013 14:54;06/03/2013 06:00;09/03/2013 20:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;PORCHEVILLE 4;17W100P100P0045N;EDF;17X100A100R00182;585;0;585;Divers;-;Active;MW;10YFR-RTE------C
04424_20130228T1454440000_001;28/02/2013 14:54;06/03/2013 06:00;09/03/2013 20:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;PORCHEVILLE 4;17W100P100P0045N;EDF;17X100A100R00182;585;0;585;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20130228T1458530000_003;28/02/2013 14:58;06/03/2013 08:00;06/03/2013 16:30;Indisponibilité fortuite;Fioul;Indisponibilité de production;MONTEREAU 5;17W100P100P0040X;EDF;17X100A100R00182;185;0;185;Divers;-;Active;MW;10YFR-RTE------C
04424_20130228T1458530000_002;28/02/2013 14:58;06/03/2013 08:00;06/03/2013 17:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;MONTEREAU 5;17W100P100P0040X;EDF;17X100A100R00182;185;0;185;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20130228T1458530000_001;28/02/2013 14:58;06/03/2013 08:00;06/03/2013 17:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;MONTEREAU 5;17W100P100P0040X;EDF;17X100A100R00182;185;0;185;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20130228T1459430000_002;28/02/2013 14:59;07/03/2013 08:00;07/03/2013 17:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;MONTEREAU 6;17W100P100P0041V;EDF;17X100A100R00182;185;0;185;Divers;-;Active;MW;10YFR-RTE------C
04424_20130228T1459430000_001;28/02/2013 14:59;07/03/2013 08:00;07/03/2013 17:00;Indisponibilité fortuite;Fioul;Indisponibilité de production;MONTEREAU 6;17W100P100P0041V;EDF;17X100A100R00182;185;0;185;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20130228T1802120000_002;28/02/2013 18:02;05/03/2013 14:00;05/03/2013 14:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 1;17W100P100P00202;EDF;17X100A100R00182;250;0;250;Non encore déterminée;-;Annulée;MW;10YFR-RTE------C
